German,English
Ich,I
ist,is
ich,I
nicht,Not
Sie,she
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
ein,a 
in,in
wir,we
Du,You
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,on
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,itself
Die,the
nur,just
einen,a
Nein,no
dem,to the
ihn,him
auch,even
hast,have
sein,being
ihr,you
da,there
aus,the end
kann,can
aber,but
Aber,but
schon,nice
wenn,if
wird,will
um,around
Wie,how
als,as
bist,are you
im,in the
mal,just
doch,after all
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,if
werden,will
Der,the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,some
alles,everything
muss,Must
immer,always
man,one
wieder,again
bei,at
hab,have
machen,do
vor,Before
ihm,him
einem,a
tun,do
zum,to the
können,be able
sagen,to say
werde,will
denn,then
Ist,is
Ein,On
Warum,why
einer,one
gehen,walk
sehen,see
sehr,very
geht,goes
alle,Everyone
über,about
müssen,must
diese,this
einfach,simply
euch,you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,Them
gibt,are
wirklich,really
Hey,Hey
Danke,thanks
deine,your
würde,would
soll,target
Da,There
hatte,would have
Hier,here
wissen,to know
bitte,You're welcome
viel,a lot of
Dann,then
So,So
gesagt,said
Ihr,your
am,at the
kein,no
Komm,come
Wer,who
zurück,return
wurde,would
In,In
wollte,wanted
Frau,woman
Leben,life
wäre,would
wo,Where
damit,with it
Nicht,Not
Gott,God
Leute,people
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,all
Jetzt,now
Mein,my
Mr,MR
also,so
zur,to the
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hi
Okay,OK
macht,power
waren,were
bis,until
Vielleicht,perhaps
könnte,could
Eine,One
Bitte,You're welcome
weg,away
seine,his
lassen,to let
Vater,Father
